participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
12,baseline,201,0.0117263793945312,0.642825,0.92994,0.07006,1
12,baseline,201,1.4921875,3.629425,0.999757,2.43e-4,0
12,baseline,201,0.58642578125,1.057125,0.999807,1.93e-4,0
12,baseline,201,1.490234375,2.4358,0.999853,1.47e-4,0
12,baseline,201,1.8056640625,2.165775,0.999128,8.72e-4,0
12,baseline,201,0.003091812133789,1.10595,0.909943,0.090057,1
12,baseline,601,0.374267578125,0.8379000000000001,0.85303,0.14697,1
12,baseline,601,0.0154342651367187,0.5397000000000001,0.970874,0.029126,1
12,baseline,601,0.030120849609375,0.7406250000000001,1,0,0
12,baseline,601,0.0789794921875,0.84485,0.538431,0.461569,1
12,baseline,724,8.684396743774414e-5,0.5777749999999999,0.980355,0.019645,1
12,baseline,724,0.1895751953125,1.117425,0.94,0.06,1
12,baseline,724,8.189678192138672e-5,0.6154999999999999,0.94,0.06,1
12,baseline,724,3.165006637573242e-5,0.3717499999999999,0.883694,0.116306,1
12,baseline,497,0.0025501251220703,1.988275,0.999988,1.2e-5,0
12,baseline,497,1.933574676513e-4,1.47435,0.8463,0.1537,1
12,baseline,497,-0,0.879875,0.949965,0.050035,1
12,baseline,497,0.0023155212402343,1.2888,0.846309,0.153691,1
12,baseline,497,0.0113143920898437,1.03895,0.952359,0.047641,1
12,baseline,497,-0,0.663575,0.999922,7.8e-5,0
12,baseline,497,0.0121002197265625,1.108425,0.999926,7.4e-5,0
12,baseline,497,0.001936912536621,0.7612249999999999,0.999943,5.7e-5,0
12,baseline,497,9.760856628417e-4,0.803825,0.999795,2.05e-4,0
12,baseline,243,3.68595123291e-4,0.688975,0.943272,0.056728,1
12,baseline,243,0.0017042160034179,0.822125,0.990099,0.009901,0
12,baseline,243,7.414817810058e-4,0.79945,0.91735,0.08265,1
12,baseline,243,0.2215576171875,1.624275,0.762148,0.237852,1
12,baseline,243,6.380081176757e-4,1.2218,0.987601,0.012399,1
12,baseline,530,2.975463867187e-4,0.7813749999999999,0.877547,0.122453,1
12,baseline,530,0.114501953125,3.78125,0.934579,0.065421000000000007,1
12,baseline,530,0.0122451782226562,2.401625,0.739254,0.260746,1
12,baseline,530,0.436767578125,3.70655,0.999952,4.8e-5,0
12,baseline,232,8.863210678100586e-5,0.7208249999999999,0.947801,0.052199,1
12,baseline,232,-0,0.7862750000000001,0.9215,0.0785,1
12,baseline,232,0.0034332275390625,1.1504,0.817,0.183,1
10,baseline,309,-0,2.613525,0.864374,0.135626,1
10,baseline,309,7.277727127075195e-5,1.555675,0.929992,0.070008,1
10,baseline,309,0.011810302734375,0.95375,1,0,0
10,baseline,309,5.722045898437e-4,1.20555,1,0,0
10,baseline,194,0.0015621185302734,0.5070250000000001,0.89197,0.10803,1
10,baseline,194,0.0029449462890625,0.6537250000000001,0.823051,0.176949,1
10,baseline,194,0.2322998046875,1.887675,0,1,1
10,baseline,100,5.140304565429e-4,2.36595,0.940813,0.059187,1
10,baseline,100,0.0140304565429687,1.36525,0.89931,0.10069,1
10,baseline,100,0.0032005310058593,2.2529,0.891,0.109,1
10,baseline,100,0.0148773193359375,2.72975,0.385746,0.614254,1
10,baseline,709,2.758502960205e-4,1.607675,0.911812,0.088188,1
10,baseline,709,7.361173629760742e-5,0.95335,1,0,0
